,https://www.youtube.com/@w3schools
,https://www.linkedin.com/company/w3schools.com/
,https://discord.com/invite/w3schools
,https://www.facebook.com/w3schoolscom/
,https://www.instagram.com/w3schools.com_official/
"Learn
                    HTML",/html/default.asp
Tutorial,/html/default.asp
Reference,/tags/default.asp
"Learn
                    CSS",/css/default.asp
Tutorial,/css/default.asp
Reference,/cssref/default.asp
"Learn
                    RWD",/css/css_rwd_intro.asp
Tutorial,/css/css_rwd_intro.asp
"Learn
                    Bootstrap",/bootstrap/bootstrap_ver.asp
Overview,/bootstrap/bootstrap_ver.asp
"Learn
                    W3.CSS",/w3css/default.asp
Tutorial,/w3css/default.asp
Reference,/w3css/w3css_references.asp
"Learn
                    Sass",/sass/default.asp
Tutorial,/sass/default.asp
Reference,/sass/sass_functions_string.asp
"Learn
                    Colors",/colors/default.asp
Tutorial,/colors/default.asp
Reference,/colors/colors_fs595.asp
"Learn
                    Icons",/icons/default.asp
Tutorial,/icons/default.asp
Reference,/icons/icons_reference.asp
"Learn
                    SVG",/graphics/svg_intro.asp
Tutorial,/graphics/svg_intro.asp
Reference,/graphics/svg_reference.asp
"Learn
                    Canvas",/graphics/canvas_intro.asp
Tutorial,/graphics/canvas_intro.asp
Reference,/graphics/canvas_reference.asp
"Learn
                    Graphics",/graphics/default.asp
Tutorial,/graphics/default.asp
"Learn
                    UTF-8 and Emojis",/charsets/default.asp
Reference,/charsets/default.asp
"Learn
                    How To",/howto/default.asp
Tutorial,/howto/default.asp
"Learn
                    AI",/ai/default.asp
Tutorial,/ai/default.asp
"Learn
                    Generative AI",/gen_ai/index.php
Tutorial,/gen_ai/index.php
"Learn
                    ChatGPT-3.5",/gen_ai/chatgpt-3-5/index.php
Tutorial,/gen_ai/chatgpt-3-5/index.php
"Learn
                    ChatGPT-4",/gen_ai/chatgpt-4/index.php
Tutorial,/gen_ai/chatgpt-4/index.php
"Learn
                    Google Bard",/gen_ai/bard/index.php
Tutorial,/gen_ai/bard/index.php
"Learn
                    Machine Learning",/python/python_ml_getting_started.asp
Tutorial,/python/python_ml_getting_started.asp
"Learn
                    DSA",/dsa/index.php
Tutorial,/dsa/index.php
"Learn
                    Data Science",/datascience/default.asp
Tutorial,/datascience/default.asp
"Learn
                    NumPy",/python/numpy/default.asp
Tutorial,/python/numpy/default.asp
"Learn
                    Pandas",/python/pandas/default.asp
Tutorial,/python/pandas/default.asp
"Learn
                    SciPy",/python/scipy/index.php
Tutorial,/python/scipy/index.php
"Learn
                    Matplotlib",/python/matplotlib_intro.asp
Tutorial,/python/matplotlib_intro.asp
"Learn
                    Statistics",/statistics/index.php
Tutorial,/statistics/index.php
"Learn
                    Excel",/excel/index.php
Tutorial,/excel/index.php
"Learn
                    Google Sheets",/googlesheets/index.php
Tutorial,/googlesheets/index.php
"Create a Website
                    
                      HOT!",/spaces/index.php
"Create a Server
                    NEW",/spaces/index.php
Where To Start,/where_to_start.asp
Web Templates,/w3css/w3css_templates.asp
Web Statistics,/browsers/default.asp
Web Certificates,https://campus.w3schools.com
Web Development,/whatis/default.asp
Introduction to Programming,/programming/index.php
Code Editor,/tryit/default.asp
Test Your Typing Speed,/typingspeed/default.asp
Play a Code Game,/codegame/index.html
Cyber Security,/cybersecurity/index.php
Accessibility,/accessibility/index.php
Join our Newsletter,https://campus.w3schools.com/pages/newsletter
"Learn
                    JavaScript",/js/default.asp
Tutorial,/js/default.asp
Reference,/jsref/default.asp
"Learn
                    React",/react/default.asp
Tutorial,/react/default.asp
"Learn
                    jQuery",/jquery/default.asp
Tutorial,/jquery/default.asp
Reference,/jquery/jquery_ref_overview.asp
"Learn
                    Vue",/vue/index.php
Tutorial,/vue/index.php
Reference,/vue/vue_ref_builtin-attributes.php
"Learn
                    AngularJS",/angular/default.asp
Tutorial,/angular/default.asp
Reference,/angular/angular_ref_directives.asp
"Learn
                    JSON",/js/js_json_intro.asp
Tutorial,/js/js_json_intro.asp
Reference,/jsref/jsref_obj_json.asp
"Learn
                    AJAX",/js/js_ajax_intro.asp
Tutorial,/js/js_ajax_intro.asp
"Learn
                    AppML",/appml/default.asp
Tutorial,/appml/default.asp
Reference,/appml/appml_reference.asp
"Learn
                    W3.JS",/w3js/default.asp
Tutorial,/w3js/default.asp
Reference,/w3js/w3js_references.asp
"Create a Website
                    
                      HOT!",/spaces/index.php
"Create a Server
                    NEW",/spaces/index.php
Where To Start,/where_to_start.asp
Web Templates,/w3css/w3css_templates.asp
Web Statistics,/browsers/default.asp
Web Certificates,https://campus.w3schools.com
Web Development,/whatis/default.asp
Introduction to Programming,/programming/index.php
Code Editor,/tryit/default.asp
Test Your Typing Speed,/typingspeed/default.asp
Play a Code Game,/codegame/index.html
Cyber Security,/cybersecurity/index.php
Accessibility,/accessibility/index.php
Join our Newsletter,https://campus.w3schools.com/pages/newsletter
"Learn
                    Python",/python/default.asp
Tutorial,/python/default.asp
Reference,/python/python_reference.asp
"Learn
                    SQL",/sql/default.asp
Tutorial,/sql/default.asp
Reference,/sql/sql_ref_keywords.asp
"Learn
                    MySQL",/mysql/default.asp
Tutorial,/mysql/default.asp
Reference,/mysql/mysql_datatypes.asp
"Learn
                    PHP",/php/default.asp
Tutorial,/php/default.asp
Reference,/php/php_ref_overview.asp
"Learn
                    Java",/java/default.asp
Tutorial,/java/default.asp
Reference,/java/java_ref_reference.asp
"Learn
                    C",/c/index.php
Tutorial,/c/index.php
Reference,/c/c_ref_reference.php
"Learn
                    C++",/cpp/default.asp
Tutorial,/cpp/default.asp
Reference,/cpp/cpp_ref_reference.asp
"Learn
                    C#",/cs/index.php
Tutorial,/cs/index.php
"Learn
                    R",/r/default.asp
Tutorial,/r/default.asp
"Learn
                    Kotlin",/kotlin/index.php
Tutorial,/kotlin/index.php
"Learn
                    Rust",/rust/index.php
Tutorial,/rust/index.php
"Learn
                    Go",/go/index.php
Tutorial,/go/index.php
"Learn
                    Django",/django/index.php
Tutorial,/django/index.php
Reference,/django/django_ref_template_tags.php
"Learn
                    PostgreSQL",/postgresql/index.php
Tutorial,/postgresql/index.php
"Learn
                    TypeScript",/typescript/index.php
Tutorial,/typescript/index.php
"Learn
                    ASP",/asp/default.asp
Tutorial,/asp/default.asp
Reference,/asp/asp_ref_vbscript_functions.asp
"Learn
                    Node.js",/nodejs/default.asp
Tutorial,/nodejs/default.asp
Reference,/nodejs/ref_modules.asp
"Learn
                    Raspberry Pi",/nodejs/nodejs_raspberrypi.asp
Tutorial,/nodejs/nodejs_raspberrypi.asp
"Learn
                    Git",/git/default.asp
Tutorial,/git/default.asp
"Learn
                    Bash",/bash/index.php
Tutorial,/bash/index.php
"Learn
                    MongoDB",/mongodb/index.php
Tutorial,/mongodb/index.php
"Learn
                    XML",/xml/default.asp
Tutorial,/xml/default.asp
Reference,/xml/dom_nodetype.asp
"Learn
                    AI",/ai/default.asp
Tutorial,/ai/default.asp
"Learn
                    Generative AI",/gen_ai/index.php
Tutorial,/gen_ai/index.php
"Learn
                    ChatGPT-3.5",/gen_ai/chatgpt-3-5/index.php
Tutorial,/gen_ai/chatgpt-3-5/index.php
"Learn
                    ChatGPT-4",/gen_ai/chatgpt-4/index.php
Tutorial,/gen_ai/chatgpt-4/index.php
"Learn
                    Google Bard",/gen_ai/bard/index.php
Tutorial,/gen_ai/bard/index.php
"Learn
                    Machine Learning",/python/python_ml_getting_started.asp
Tutorial,/python/python_ml_getting_started.asp
"Learn
                    DSA",/dsa/index.php
Tutorial,/dsa/index.php
"Learn
                    Data Science",/datascience/default.asp
Tutorial,/datascience/default.asp
"Learn
                    NumPy",/python/numpy/default.asp
Tutorial,/python/numpy/default.asp
"Learn
                    Pandas",/python/pandas/default.asp
Tutorial,/python/pandas/default.asp
"Learn
                    SciPy",/python/scipy/index.php
Tutorial,/python/scipy/index.php
"Learn
                    Matplotlib",/python/matplotlib_intro.asp
Tutorial,/python/matplotlib_intro.asp
"Learn
                    Statistics",/statistics/index.php
Tutorial,/statistics/index.php
"Learn
                    Excel",/excel/index.php
Tutorial,/excel/index.php
"Learn
                    Google Sheets",/googlesheets/index.php
Tutorial,/googlesheets/index.php
"Create a Website
                    
                      HOT!",/spaces/index.php
"Create a Server
                    NEW",/spaces/index.php
Where To Start,/where_to_start.asp
Web Templates,/w3css/w3css_templates.asp
Web Statistics,/browsers/default.asp
Web Certificates,https://campus.w3schools.com
Web Development,/whatis/default.asp
Introduction to Programming,/programming/index.php
Code Editor,/tryit/default.asp
Test Your Typing Speed,/typingspeed/default.asp
Play a Code Game,/codegame/index.html
Cyber Security,/cybersecurity/index.php
Accessibility,/accessibility/index.php
Join our Newsletter,https://campus.w3schools.com/pages/newsletter
HTML,/html/html_exercises.asp
Exercise,/html/html_exercises.asp
Quiz,/html/html_quiz.asp
CSS,/css/css_exercises.asp
Exercise,/css/css_exercises.asp
Quiz,/css/css_quiz.asp
Bootstrap 3,/bootstrap/bootstrap_exercises.asp
Exercise,/bootstrap/bootstrap_exercises.asp
Quiz,/bootstrap/bootstrap_quiz.asp
Bootstrap 4,/bootstrap4/bootstrap_exercises.asp
Exercise,/bootstrap4/bootstrap_exercises.asp
Quiz,/bootstrap4/bootstrap_quiz.asp
Bootstrap 5,/bootstrap5/bootstrap_exercises.php
Exercise,/bootstrap5/bootstrap_exercises.php
Quiz,/bootstrap5/bootstrap_quiz.php
DSA,/dsa/dsa_exercises.php
Exercise,/dsa/dsa_exercises.php
Quiz,/dsa/dsa_quiz.php
NumPy,/python/numpy/numpy_exercises.asp
Exercise,/python/numpy/numpy_exercises.asp
Quiz,/python/numpy/numpy_quiz.asp
Pandas,/python/pandas/pandas_exercises.asp
Exercise,/python/pandas/pandas_exercises.asp
Quiz,/python/pandas/pandas_quiz.asp
SciPy,/python/scipy/scipy_exercises.php
Exercise,/python/scipy/scipy_exercises.php
Quiz,/python/scipy/scipy_quiz.php
Excel,/excel/excel_exercises.php
Exercise,/excel/excel_exercises.php
What is an Exercise?,/exercises/index.php
What is a Quiz?,/quiztest/default.asp
JavaScript,/js/js_exercises.asp
Exercise,/js/js_exercises.asp
Quiz,/js/js_quiz.asp
React,/react/react_exercises.asp
Exercise,/react/react_exercises.asp
Quiz,/react/react_quiz.asp
jQuery,/jquery/jquery_exercises.asp
Exercise,/jquery/jquery_exercises.asp
Quiz,/jquery/jquery_quiz.asp
Vue,/vue/vue_exercises.php
Exercise,/vue/vue_exercises.php
Quiz,/vue/vue_quiz.php
Python,/python/python_exercises.asp
Exercise,/python/python_exercises.asp
Quiz,/python/python_quiz.asp
SQL,/sql/sql_exercises.asp
Exercise,/sql/sql_exercises.asp
Quiz,/sql/sql_quiz.asp
MySQL,/mysql/mysql_exercises.asp
Exercise,/mysql/mysql_exercises.asp
Quiz,/mysql/mysql_quiz.asp
PHP,/php/php_exercises.asp
Exercise,/php/php_exercises.asp
Quiz,/php/php_quiz.asp
Java,/java/java_exercises.asp
Exercise,/java/java_exercises.asp
Quiz,/java/java_quiz.asp
C,/c/c_exercises.php
Exercise,/c/c_exercises.php
Quiz,/c/c_quiz.php
C++,/cpp/cpp_exercises.asp
Exercise,/cpp/cpp_exercises.asp
Quiz,/cpp/cpp_quiz.asp
C#,/cs/cs_exercises.php
Exercise,/cs/cs_exercises.php
Quiz,/cs/cs_quiz.php
R,/r/r_exercises.asp
Exercise,/r/r_exercises.asp
Quiz,/r/r_quiz.asp
Kotlin,/kotlin/kotlin_exercises.php
Exercise,/kotlin/kotlin_exercises.php
Quiz,/kotlin/kotlin_quiz.php
Django,/django/django_exercises.php
Exercise,/django/django_exercises.php
Quiz,/django/django_quiz.php
Node.js,/nodejs/nodejs_exercises.asp
Exercise,/nodejs/nodejs_exercises.asp
Quiz,/nodejs/nodejs_quiz.asp
PostgreSQL,/postgresql/postgresql_exercises.php
Exercise,/postgresql/postgresql_exercises.php
Quiz,/postgresql/postgresql_quiz.php
TypeScript,/typescript/typescript_exercises.php
Exercise,/typescript/typescript_exercises.php
Quiz,/typescript/typescript_quiz.php
Git,/git/git_exercises.asp
Exercise,/git/git_exercises.asp
Quiz,/git/git_quiz.asp
Bash,/bash/bash_exercises.php
Exercise,/bash/bash_exercises.php
Quiz,/bash/bash_quiz.php
Go,/go/go_exercises.php
Exercise,/go/go_exercises.php
MongoDB,/mongodb/mongodb_exercises.php
Exercise,/mongodb/mongodb_exercises.php
DSA,/dsa/dsa_exercises.php
Exercise,/dsa/dsa_exercises.php
Quiz,/dsa/dsa_quiz.php
NumPy,/python/numpy/numpy_exercises.asp
Exercise,/python/numpy/numpy_exercises.asp
Quiz,/python/numpy/numpy_quiz.asp
Pandas,/python/pandas/pandas_exercises.asp
Exercise,/python/pandas/pandas_exercises.asp
Quiz,/python/pandas/pandas_quiz.asp
SciPy,/python/scipy/scipy_exercises.php
Exercise,/python/scipy/scipy_exercises.php
Quiz,/python/scipy/scipy_quiz.php
Excel,/excel/excel_exercises.php
Exercise,/excel/excel_exercises.php
What is an Exercise?,/exercises/index.php
What is a Quiz?,/quiztest/default.asp
HTML,https://campus.w3schools.com/collections/certifications/products/html-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/html-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/html-course
CSS,https://campus.w3schools.com/collections/certifications/products/css-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/css-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/css-course
Bootstrap 3,https://campus.w3schools.com/collections/certifications/products/bootstrap-3-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/bootstrap-3-certificate
Course,https://campus.w3schools.com/collections/single-courses/products/bootstrap-course
Bootstrap 4,https://campus.w3schools.com/collections/certifications/products/bootstrap-4-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/bootstrap-4-certificate
Course,https://campus.w3schools.com/collections/single-courses/products/bootstrap-4-course
Bootstrap 5,https://campus.w3schools.com/collections/certifications/products/bootstrap-5-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/bootstrap-5-certificate
DSA,https://campus.w3schools.com/products/dsa-certification-exam
Certificate,https://campus.w3schools.com/products/dsa-certification-exam
Data Analytics,https://campus.w3schools.com/products/data-analytics-program
Course,https://campus.w3schools.com/products/data-analytics-program
NumPy,https://campus.w3schools.com/products/numpy-certification-exam
Certificate,https://campus.w3schools.com/products/numpy-certification-exam
Course,https://campus.w3schools.com/products/numpy-course
Pandas,https://campus.w3schools.com/products/pandas-certification-exam
Certificate,https://campus.w3schools.com/products/pandas-certification-exam
Course,https://campus.w3schools.com/products/pandas-course
Excel,https://campus.w3schools.com/products/excel-certificate
Certificate,https://campus.w3schools.com/products/excel-certificate
Social Media,https://campus.w3schools.com/collections/course-best-sellers/products/social-media-marketing-course
Course,https://campus.w3schools.com/collections/course-best-sellers/products/social-media-marketing-course
What is a Certificate?,https://campus.w3schools.com
"Full Access
                    
                      Best Value!",https://campus.w3schools.com/collections/course-catalog/products/w3schools-full-access-course
Front End,https://campus.w3schools.com/collections/certifications/products/front-end-course
Certificate,https://campus.w3schools.com/collections/certifications/products/front-end-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/front-end-course
Web Dev.,https://campus.w3schools.com/collections/certifications/products/modern-web-development-certification
Certificate,https://campus.w3schools.com/collections/certifications/products/modern-web-development-certification
Course,https://campus.w3schools.com/collections/course-best-sellers/products/learn-modern-web-development
Web App,https://campus.w3schools.com/collections/certifications/products/web-application-development-certificates
Certificate,https://campus.w3schools.com/collections/certifications/products/web-application-development-certificates
Course,https://campus.w3schools.com/collections/course-best-sellers/products/web-application-development-course
Web Design,https://campus.w3schools.com/collections/certifications/products/web-design-certification
Certificate,https://campus.w3schools.com/collections/certifications/products/web-design-certification
Course,https://campus.w3schools.com/collections/course-best-sellers/products/learn-web-design
JavaScript,https://campus.w3schools.com/collections/certifications/products/javascript-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/javascript-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/javascript-course
React,https://campus.w3schools.com/collections/certifications/products/react-js-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/react-js-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/react-js-course
jQuery,https://campus.w3schools.com/collections/certifications/products/jquery-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/jquery-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/jquery-course
Vue,https://campus.w3schools.com/products/vue-js-certification-exam
Certificate,https://campus.w3schools.com/products/vue-js-certification-exam
"Full Access
                    
                      Best Value!",https://campus.w3schools.com/collections/course-catalog/products/w3schools-full-access-course
Front End,https://campus.w3schools.com/collections/certifications/products/front-end-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/front-end-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/front-end-course
Web Dev.,https://campus.w3schools.com/collections/certifications/products/modern-web-development-certification
Certificate,https://campus.w3schools.com/collections/certifications/products/modern-web-development-certification
Course,https://campus.w3schools.com/collections/course-best-sellers/products/learn-modern-web-development
Web App,https://campus.w3schools.com/collections/certifications/products/web-application-development-certificates
Certificate,https://campus.w3schools.com/collections/certifications/products/web-application-development-certificates
Course,https://campus.w3schools.com/collections/course-best-sellers/products/web-application-development-course
Web Design,https://campus.w3schools.com/collections/certifications/products/web-design-certification
Certificate,https://campus.w3schools.com/collections/certifications/products/web-design-certification
Course,https://campus.w3schools.com/collections/course-best-sellers/products/learn-web-design
"Full Access
                    
                      Best Value!",https://campus.w3schools.com/collections/course-catalog/products/w3schools-full-access-course
Front End,https://campus.w3schools.com/collections/certifications/products/front-end-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/front-end-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/front-end-course
Web Dev.,https://campus.w3schools.com/collections/certifications/products/modern-web-development-certification
Certificate,https://campus.w3schools.com/collections/certifications/products/modern-web-development-certification
Course,https://campus.w3schools.com/collections/course-best-sellers/products/learn-modern-web-development
Web App,https://campus.w3schools.com/collections/certifications/products/web-application-development-certificates
Certificate,https://campus.w3schools.com/collections/certifications/products/web-application-development-certificates
Course,https://campus.w3schools.com/collections/course-best-sellers/products/web-application-development-course
Web Design,https://campus.w3schools.com/collections/certifications/products/web-design-certification
Certificate,https://campus.w3schools.com/collections/certifications/products/web-design-certification
Course,https://campus.w3schools.com/collections/course-best-sellers/products/learn-web-design
Python,https://campus.w3schools.com/collections/certifications/products/python-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/python-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/python-course
SQL,https://campus.w3schools.com/collections/certifications/products/sql-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/sql-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/sql-course
MySQL,https://campus.w3schools.com/collections/certifications/products/mysql-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/mysql-certificate
PHP,https://campus.w3schools.com/collections/certifications/products/php-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/php-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/php-course
Java,https://campus.w3schools.com/collections/certifications/products/java-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/java-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/java-course
C,https://campus.w3schools.com/products/c-certification-exam
Certificate,https://campus.w3schools.com/products/c-certification-exam
C++,https://campus.w3schools.com/collections/certifications/products/c-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/c-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/c-course-1
C#,https://campus.w3schools.com/collections/certifications/products/c-certificate-1
Certificate,https://campus.w3schools.com/collections/certifications/products/c-certificate-1
Course,https://campus.w3schools.com/collections/course-catalog/products/c-course
R,https://campus.w3schools.com/collections/course-catalog/products/r-course
Course,https://campus.w3schools.com/collections/course-catalog/products/r-course
Django,https://campus.w3schools.com/products/django-certification-exam
Certificate,https://campus.w3schools.com/products/django-certification-exam
NodeJS,https://campus.w3schools.com/products/nodejs-certificate
Certificate,https://campus.w3schools.com/products/nodejs-certificate
TypeScript,https://campus.w3schools.com/collections/certifications/products/typescript-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/typescript-certificate
Course,https://campus.w3schools.com/products/learn-typescript
XML,https://campus.w3schools.com/collections/certifications/products/xml-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/xml-certificate
Course,https://campus.w3schools.com/collections/course-catalog/products/xml-course
Cyber Security,https://campus.w3schools.com/collections/certifications/products/cyber-security-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/cyber-security-certificate
Course,https://campus.w3schools.com/products/cyber-security-course
Accessibility,https://campus.w3schools.com/collections/certifications/products/accessibility-certificate
Certificate,https://campus.w3schools.com/collections/certifications/products/accessibility-certificate
Course,https://campus.w3schools.com/products/accessibility-course
DSA,https://campus.w3schools.com/products/dsa-certification-exam
Exam,https://campus.w3schools.com/products/dsa-certification-exam
Data Analytics,https://campus.w3schools.com/products/data-analytics-program
Course,https://campus.w3schools.com/products/data-analytics-program
NumPy,https://campus.w3schools.com/products/numpy-course
Course,https://campus.w3schools.com/products/numpy-course
Pandas,https://campus.w3schools.com/products/pandas-course
Course,https://campus.w3schools.com/products/pandas-course
Excel,https://campus.w3schools.com/products/excel-certificate
Certificate,https://campus.w3schools.com/products/excel-certificate
Social Media,https://campus.w3schools.com/collections/course-best-sellers/products/social-media-marketing-course
Course,https://campus.w3schools.com/collections/course-best-sellers/products/social-media-marketing-course
What is a Certificate?,https://campus.w3schools.com
"Free Tutorials

                      Enjoy our free tutorials like millions of other internet
                      users since 1999",/tutorials/index.php
"References

                      Explore our selection of references covering all popular
                      coding languages",/references/index.php
"Create a Website

                      Create your own website with
                      W3Schools Spaces
                      - no setup required",/spaces/index.php
"Exercises
Test your skills with different exercises",/exercises/index.php
"Quizzes
Test yourself with multiple choice questions",/quiztest/default.asp
"Get Certified
Document your knowledge",https://campus.w3schools.com/collections/certifications
"Log in / Sign Up

                      Create a
                      free
                      W3Schools Account to Improve Your Learning Experience",https://profile.w3schools.com/sign-up
"My Learning

                      Track your learning progress at W3Schools and collect
                      rewards",https://profile.w3schools.com/sign-up
"Upgrade

                      Become a PLUS user and unlock powerful features (ad-free,
                      hosting, support,..)",https://order.w3schools.com/plans
"Where To Start

                      Not sure where you want to start? Follow our guided path",/where_to_start.asp
"Code Editor (Try it)

                      With our online code editor, you can edit code and view
                      the result in your browser",/tryit/default.asp
"Videos

                      Learn the basics of HTML in a fun and engaging video
                      tutorial",/videos/index.php
"Templates

                      We have created a bunch of responsive website templates
                      you can use - for free!",/w3css/w3css_templates.asp
"Web Hosting

                      Host your own website, and share it to the world with
                      W3Schools Spaces",/spaces/index.php
"Create a Server

                      Create your own server using Python, PHP, React.js,
                      Node.js, Java, C#, etc.",/spaces/index.php
"How To's

                      Large collection of code snippets for HTML, CSS and
                      JavaScript",/howto/default.asp
"CSS Framework

                      Build fast and responsive sites using our free
                      W3.CSS
                      framework",/w3css/default.asp
"Browser Statistics
Read long term trends of browser usage",/browsers/default.asp
"Typing Speed
Test your typing speed",/typingspeed/default.asp
"Color Picker

                      Use our color picker to find different RGB, HEX and HSL
                      colors.",/colors/colors_picker.asp
"Code Game

                      W3Schools Coding Game! Help the lynx collect pine cones",/codegame/index.html
"Newsletter

                      Join our newsletter and get access to exclusive content
                      every month",https://campus.w3schools.com/pages/newsletter
"For Teachers

                      Contact us about W3Schools Academy for educational
                      institutions",/academy/index.php
"For Businesses

                      Contact us about W3Schools Academy for your organization",/academy/index.php
"Emojis Reference
Check out our refererence page with all the emojis supported in HTML
                      😊",/charsets/ref_emoji_intro.asp
"UTF-8 Reference
Check out our full UTF-8 Character reference",/charsets/default.asp
,https://www.youtube.com/@w3schools
,https://www.linkedin.com/company/w3schools.com/
,https://discord.com/invite/w3schools
,https://www.facebook.com/w3schoolscom/
,https://www.instagram.com/w3schools.com_official/
,javascript:void(0);
HTML,/html/default.asp
CSS,/css/default.asp
JAVASCRIPT,/js/default.asp
SQL,/sql/default.asp
PYTHON,/python/default.asp
JAVA,/java/default.asp
PHP,/php/default.asp
HOW TO,/howto/default.asp
W3.CSS,/w3css/default.asp
C,/c/index.php
C++,/cpp/default.asp
C#,/cs/index.php
BOOTSTRAP,/bootstrap/bootstrap_ver.asp
REACT,/react/default.asp
MYSQL,/mysql/default.asp
JQUERY,/jquery/default.asp
EXCEL,/excel/index.php
XML,/xml/default.asp
