Title,Meta Description,Headings (H1),Headings (H2),Paragraphs
Nykaa Fashion – Online Shopping of Clothes & Accessories from Top Designers,"Nykaa Fashion – Online Shopping Site for Designer Clothes, Accessories & Lifestyle Products in India. Shop at Best Prices & Attractive Offers from India’s best Fashion Website.",Nykaa Fashion – Online Shopping Website,"TRENDING NOW
GADGETS & TECH ACCESSORIES
HOME DECOR
NYKAA FASHION LUXE
HIDDEN GEMS
Home,/home/c/8528?root=topnav_1
All Brands,/all-brands?root=topnav_1
,"/lp/luxe?pageType=nf-luxe&pageVariation=1&root=topnav_1,more,1"
,"/lp/hidden-gems?pageType=nf-hidden-gems&root=topnav_1,more,2"
,"/lp/global-store?pageType=nf-global-store&pageVariation=1&root=topnav_1,more,3"
,"/lp/revolve?pageType=nf-revolve&root=topnav_1,more,4"
,"/lp/fit-zone?pageType=nf-fit-zone&root=topnav_1,more,5"
,https://www.nykaafashion.com/spring-summer-2025/c/74296?transaction_id=83316250eae7950779fe717dc0d41a7a
,https://www.nykaafashion.com/lp/westernwear?pageType=nf-westernwear&transaction_id=37b89f48f1b1a86674098c7302567878
,https://www.nykaafashion.com/lp/indianwear?pageType=nf-indianwear&transaction_id=9ea3d2eba34f011623e495d18caf34cb
,https://www.nykaafashion.com/lp/footwear?pageType=nf-footwear&transaction_id=66efcd5161ecc8dcd9e6b4aefd8b0f7d
,https://www.nykaafashion.com/lp/lingerie?pageType=nf-lingerie&transaction_id=ea0491268427f8c0a2f266de316abcfd
,https://www.nykaafashion.com/lp/athleisure?pageType=nf-athleisure&transaction_id=2590960ea6d981907b502941ac03d031
,https://www.nykaafashion.com/lp/bags?pageType=nf-bags&transaction_id=982f7f0f18e5f1c7c61af0febf9a488c
,https://www.nykaafashion.com/lp/jewellery?pageType=nf-jewellery&transaction_id=d30163495f47e33b6d8a9a0a9ba75070
,https://www.nykaafashion.com/lp/women-watches?pageType=nf-women-watches&transaction_id=453a95c34e77907dbdcc961423907270
,https://www.nykaafashion.com/lp/sunglasses-buying-guide?pageType=nf-sunglasses-buying-guide&transaction_id=a02efc1b9d99bbed77b41c8c01ba89bf
,https://www.nykaafashion.com/lp/revolve?pageType=nf-revolve&transaction_id=1df5eafa1fc9f8baae730bc099395a45
,https://www.nykaafashion.com/women/westernwear/dresses/c/5?f=dresses_type_filter%3D2083_&transaction_id=3328ec95676d5e0f1356373cae89fd19
,https://www.nykaafashion.com/women/footwear/c/3528?f=occasion_filter%3D179_181_%3Bcategory_filter%3D3523_3532_3522_4668_3916_67502_&transaction_id=b44be78d3ee0dc39b12ea664ded39cec
,https://www.nykaafashion.com/women/jewellery/c/77?f=occasion_filter%3D179_181_%3Bdiscount_filter%3D40-%2A_&transaction_id=f3644706e8fe47ecdea00e43816908bd
,https://www.nykaafashion.com/women/lingerie/bra/c/3947?f=category_filter%3D3960_3957_7076_3956_&transaction_id=17cea1a8af020999cf4123c1a48cb526
,https://www.nykaafashion.com/women/indianwear/salwar-suits-and-sets/c/69?f=salwar_suits_sets_type_filter%3D1202_&transaction_id=8f13f2666cea76ebbe8109351dd2a58d
,https://www.nykaafashion.com/women/bags/handbags/c/669?f=discount_filter%3D40-%2A_&transaction_id=08c17a9f1aabd1ddcf7fb69fbb2af847
,https://www.nykaafashion.com/women/footwear/sneakers/c/2?f=discount_filter%3D30-%2A_%3Bcategory_filter%3D10626_3928_6858_6864_6865_&transaction_id=3ec7a7e6af606822357f728f03a13519
,https://www.nykaafashion.com/men/topwear/t-shirts/c/6825?f=occasion_filter%3D175_%3Bdiscount_filter%3D40-%2A_&transaction_id=6a066c641730f6f8cea17049dec7731f
,https://www.nykaafashion.com/festive-ready-home/c/10581?transaction_id=4f076e1da0b0b0991bd8d60c5423f908
,https://www.nykaafashion.com/women/indianwear/salwar-suits-and-sets/c/69?f=salwar_suits_sets_type_filter%3D1200_%3Boccasion_filter%3D179_181_&transaction_id=a5a8c9be19bc3b12f997c310bf0b92f7
,https://www.nykaafashion.com/lp/global-store?pageType=nf-global-store&pageVariation=1&transaction_id=242fc8db005bba5831a66e3211547b5f
,https://www.nykaafashion.com/house-of-nykaa/c/13388?transaction_id=9c1e2af65101eafad9f6164a7c1c12b7
,https://www.nykaafashion.com/lp/revolve?pageType=nf-revolve&transaction_id=74f3fbcc5de0f218061a7bdab5a6dae2
,https://www.nykaafashion.com/lp/footlocker?pageType=nf-footlocker&transaction_id=bb8f202f40378619ba2877c722e236c1
,https://www.nykaafashion.com/lp/luxe?pageType=nf-luxe-app&transaction_id=8d1243dceebdd2dcf3e98dbe2d8d6519
,https://www.nykaafashion.com/lp/luxe?pageType=nf-luxe-app&transaction_id=a3a22e44d8bc71905cfae7fb779d722d
,https://www.nykaafashion.com/women/indianwear/lehengas/c/652?f=occasion_filter%3D181_%3Bnew_tags_filter%3Dluxe_&transaction_id=165cf5fe43adaeadba275d39a4ff9b12
,https://www.nykaafashion.com/women/westernwear/c/3?f=new_tags_filter%3Dluxe_%3Boccasion_filter%3D31659_31760_&transaction_id=1a4c88950ad039e16e0582c2fe9b8c31
,https://www.nykaafashion.com/lp/luxe?pageType=nf-luxe-app&transaction_id=93ca6cf0b98208e06c1176987f777dc9
,https://www.nykaafashion.com/lp/luxe?pageType=nf-luxe-app&transaction_id=c363921ff0f870626ade6f04391ba00b
,https://www.nykaafashion.com/women/westernwear/c/3?f=new_tags_filter%3Dluxe_%3Bpattern_filter%3D1588_333_&transaction_id=a1e47dd5a090b3393724299de2aaa115
,https://www.nykaafashion.com/indian-designer-luxury/c/57205?f=category_filter%3D10_153_155_156_159_164_3907_3908_3909_4497_4542_4543_5_5040_5262_57387_6264_647_6492_6498_652_66_662_69_7_7623_7630_8522_9237_9729_%3Bprice_filter%3D1290%4020000&transaction_id=6b689b1ec8f282d75f408c0b9354257a
Cameras and Accessories,/gadgets-tech-accessories/cameras-and-accessories/c/7679
Fossil,/fossil-smart-watches/c/9076
Fitbit,/designers/fitbit/c/7074
Pebble,/designers/pebble/c/8309
Fitness Trackers,/fitness-trackers/c/8926
Cases and Covers,/gadgets-tech-accessories/cases-and-covers/c/6402
Laptops Covers,/men/bags/laptop-bags/c/6869
Chumbak,/chumbak/c/7739
Macmerise,/designers/macmerise/c/6426
Mvyno,/designers/mvyno/c/9047
Speakers,/gadgets-tech-accessories/speakers/c/6396
JBL,/designers/jbl/c/6529
Boat,/designers/boat/c/6421
Portronics,/designers/portronics/c/6667
Fingers,/designers/fingers/c/9042
Headphone,/gadgets-tech-accessories/headphones/c/6395
Bluetooth Headphones,/bluetooth-earphones-headphones/c/6771
True Wireless Headphones,/true-wireless/c/6770
Boult Audio,/designers/boult-audio/c/6425
Skullcandy,/designers/skullcandy/c/6418
Hammer,/designers/hammer/c/6628
Bed Sheets,/home/beddings/bedsheets/c/8531
Photo Frames,/home/decor/photo-frames/c/8611
Mirrors,/home/decor/wall-decor/mirrors/c/8599
Indoor Planters,/planters/c/8657
Curtains,/curtains/c/8688
Blankets,/home/beddings/quilts-blankets-dohars/blanket/c/8536
Pillows,/home/beddings/fillers-protectors/pillow/c/8548
Carpets and Rugs,/home/decor/floor-coverings/rugs-and-carpets/c/8683
Lamps,/home/decor/lighting/table-lamp/c/8632
Wall Décor,/home/decor/wall-decor/c/8596
ExclusiveLane,/exclusivelane/c/6491
The Artment,/the-artment/c/10454
HomeTown,/designers/hometown/c/11593
Ellementry,/ellementry/c/9177
The Décor Remedy,/the-decor-remedy/c/9171
Pillow Covers,/home/beddings/pillow-covers/c/8557
Cushion Covers,/home/beddings/cushions-cushion-covers/cushion-covers/c/8533
D'Decor,/designers/ddecor-live-beautiful/c/9175
Spaces,/designers/spaces/c/9781
Maspar,/maspar/c/9158
Swayam,/swayam/c/9174
Dreams,/designers/dreams/c/9834
Pure Home + Living,/pure-home-+-living/c/9543
Kitchen and Dining Essentials,/home/kitchen-dining/c/8707
Dinnerware,/home/kitchen-dining/dinnerware/c/8721
Serveware,/serveware/c/8708
Cutlery,/home/kitchen-dining/cutlery/c/8742
Table Accessories,/home/kitchen-dining/table-accessories/c/8732
Lunch Essentials,/home/kitchen-dining/lunch-essentials/c/8805
Kitchen Appliances,/home/appliances/c/8800
Wonderchef,/wonderchef/c/9268
Nestasia,/designers/nestasia/c/12244
Nykaa Fashion Luxe,/luxe/c/6800
Urvashi Kaur,/designers/urvashi-kaur/c/147
Echke,/designers/echke/c/11017
Zeppelin,/designers/zeppelin/c/7798
Label Ritu Kumar,/designers/label-ritu-kumar/c/743
First Resort By Ramola Bachchan,/designers/first-resort-by-ramola-bachchan/c/9277
Khara Kapas,/designers/khara-kapas/c/2173
Stokke,/designers/stokke/c/12047
Little Luxury,/designers/little-luxury/c/9666
Ps Kids By Payal Singhal,/designers/ps-kids-by-payal-singhal/c/8527
Hidden Gems,/hidden-gems/c/7266
Label Shaurya Sanadhya,/designers/label-shaurya-sanadhya/c/9200
Nuhh,/designers/nuhh/c/6440
Rozana Jaipur,/designers/rozana-jaipur/c/13153
Swtantra,/designers/swtantra/c/9571
Baise Gaba,/designers/baise-gaba/c/4481
Gulaboo Jaipur,/designers/gulabo-jaipur/c/7287
Formal,/formal-dresses/c/4708
Semi-Formal,/semi-formal-dresses/c/4867
Masaba,/designers/masaba/c/138
The Responsible Collection,/lp/sustainable-edit
Diwaah,/designers/diwaah/c/7962
Kicks And Crawl,/designers/kicks-and-crawl/c/7865
Cavallo By Linen Club,/designers/cavallo-by-linen-club/c/8249
Charukriti,/designers/charukriti/c/5413
Ed-A-Mamma,/designers/ed-a-mamma/c/10989
Khara Kapas,/designers/khara-kapas/c/2173
Monk & Mei,/designers/monk-mei/c/9854
Paio,/designers/paio/c/4341
,https://play.google.com/store/apps/details?id=com.fsn.nds
,https://itunes.apple.com/in/app/nykaa-design-studio/id1439872423?mt=8
About Us,/lp/about-us?root=footer
Careers,/lp/careers
Press,https://www.nykaa.com/who_are_we/#press?root=footer
About Us,/lp/about-us?root=footer
Shipping & Return Policy,/lp/shipping-and-return-policy
Help Center,/gateway-api/omsApis/helpCenter?domain=NYKAA_FASHION
Terms & Conditions,/lp/terms-and-conditions
Privacy Policy,/lp/privacy-policy
Responsible Disclosure,/lp/responsible-disclosure
Sell on Nykaa Fashion,/cp/sellonnykaa
Offers,/offer.html?root=nav_1&ptype=sale_page
Sitemap,/cp/sitemap
Style Files,/style-files/
,https://www.instagram.com/nykaafashion/
,https://www.facebook.com/NykaaFashion
Women's Indianwear,/women/indianwear/c/4
Women's Westernwear,/women/westernwear/c/3
Bags,/women/bags/c/89
Women's Footwear,/women/footwear/c/3528
Women's Jewellery,/women/jewellery/c/77
Lingerie,/women/lingerie/c/3946
Women's Sportswear,/women/sportswear/c/4015
Women's Sleep & lounge,/women/lingerie/sleepwear/c/3986
Women's Watches,/women/accessories/watches/c/4641
Fashion Accessories,/women/accessories/c/104
Topwear,/men/topwear/c/6824
Bottomwear,/men/bottoms/c/6834
Ethnicwear,/men/ethnicwear/c/6841
Men's Footwear,/men/footwear/c/6857
Men's Accessories,/men/personal-accessories/c/6879
Innerwear & Sleepwear,/men/innerwear-sleepwear/c/6850
Men's Watches,/men/watches/c/6875
Bags & Backpacks,/men/bags/c/6867
Athleisure,/men/sports-and-athleisure/c/6888
Sports & Fitness,/sports-fitness-equipment/c/11219
Kids Indianwear,/kids/indianwear/c/6267
Kids Westernwear,/kids/westernwear/c/6282
Kids Footwear,/kids/footwear/c/6333
Kids Jewellery,/kids/accessories/jewelry/c/6348
Feeding,/kids/feeding/c/6351
Kids Sportswear,/kids/sportswear/c/6298
Kids Sleepwear,/kids/sleepwear/c/6372
Kids Accessories,/kids/accessories/c/6343
Toys & Games,/kids/toys-and-games/c/6382
Innerwear,/kids/innerwear/c/6329
Luxury Ethnic Wear,/luxe-indian-wear/c/12039
Luxury Westernwear,/luxe-western-wear/c/12038
Luxury Footwear,/luxe-footwear/c/12041
Luxury Bags,/luxe-bags/c/12042
Luxury Accessories,/luxe-accessories/c/12043
Luxury Watches,/luxe-watches/c/12200
Luxury Home,/luxe-home-edit/c/12045
Luxury Jewellery,/luxe-jewellery/c/12040
Summer Collection,/luxe-summer-collection/c/12114
Luxury Dresses,/fluid-flowing-luxe/c/6002
Puma,/designers/puma/c/4886
Vero Moda,/designers/vero-moda/c/4188
W,/designers/w/c/4038
Biba,/designers/biba/c/5274
Forever New,/designers/forever-new/c/4495
Skechers,/designers/skechers/c/6477
Fablestreet,/designers/fablestreet/c/1970
Only,/designers/only/c/4189
Autumnlane,/designers/autumnlane/c/12071
Cider,/designers/cider/c/15204
Accessorize London,/designers/accessorize-london/c/6748
Twenty Dresses By Nykaa Fashion,/twenty-dresses-by-nykaa-fashion/c/4240
Nykd by Nykaa,/designers/nykd-by-nykaa/c/7059
RSVP by Nykaa Fashion,/designers/rsvp/c/4706
Gajra Gang by Nykaa Fashion,/designers/gajra-gang/c/10009
Likha by Nykaa Fashion,/designers/likha/c/11935
Mixt by Nykaa Fashion,/designers/mixt-by-nykaa-fashion/c/15963
IYKYK,/designers/iykyk-by-nykaa-fashion/c/11495
Kica,/designers/kica/c/4629
Pipa Bella By Nykaa Fashion,/designers/pipa-bella-by-nykaa-fashion/c/3771
Azai by Nykaa Fashion,/designers/azai-jewellery-by-nykaa-fashion/c/13718
Twig & Twine,/designers/twig-twine/c/12291
Gloot,/designers/gloot/c/13564
Nyri,/designers/nyri/c/14963


--- IMAGES ---
src,alt,title
https://images-static.nykaa.com/fashion-images/pub/media/logo-full.svg,Nykaa Fashion,
"https://images-static.nykaa.com/uploads/156925a0-a1cd-4c08-84a4-23848799483f.jpg?tr=w-1200,cm-pad_resize",spring-summer-2025,
"https://images-static.nykaa.com/uploads/70551941-cbd5-4afa-a1b3-297fd6aea965.jpg?tr=w-120,cm-pad_resize",westernwear,
"https://images-static.nykaa.com/uploads/5e12b801-c8b4-407d-be49-1eea0495d9bb.jpg?tr=w-120,cm-pad_resize",indianwear,
"https://images-static.nykaa.com/uploads/0b2cd77b-3ca4-4f31-8067-79ab86f013cd.jpg?tr=w-120,cm-pad_resize",footwear,
"https://images-static.nykaa.com/uploads/0110b63c-6999-453a-b11c-9d262e5b7db9.jpg?tr=w-120,cm-pad_resize",lingerie,
"https://images-static.nykaa.com/uploads/244e0b1c-85b7-4713-8a7e-d18fd3a9aa7e.jpg?tr=w-120,cm-pad_resize",sports-active,
"https://images-static.nykaa.com/uploads/64f46207-9a48-44bf-a129-d04704dd50fa.jpg?tr=w-120,cm-pad_resize",bags,
"https://images-static.nykaa.com/uploads/17c8300d-bd47-42fc-8c5f-893d29d9617a.jpg?tr=w-120,cm-pad_resize",jewellery,
"https://images-static.nykaa.com/uploads/182735da-d98a-4700-ab21-ea15fbed393c.jpg?tr=w-120,cm-pad_resize",watches,
"https://images-static.nykaa.com/uploads/7252244c-dec5-43c1-9a5f-6910cad96fca.jpg?tr=w-120,cm-pad_resize",sunglasses,
"https://images-static.nykaa.com/uploads/85ace151-7164-4c10-9947-b06fec231e44.jpg?tr=w-120,cm-pad_resize",revolve,
"https://images-static.nykaa.com/uploads/c21caccd-99e4-47e5-b4c3-db31a7e916c4.jpg?tr=w-240,cm-pad_resize",midi-dresses,
"https://images-static.nykaa.com/uploads/efaaca60-a9d8-4374-999f-b6450456b5f1.jpg?tr=w-240,cm-pad_resize",event-ready-heels,
"https://images-static.nykaa.com/uploads/27d9dbdc-dc8e-4494-8c8b-b13c43df6229.jpg?tr=w-240,cm-pad_resize",regal-jewellery,
"https://images-static.nykaa.com/uploads/0c1ac743-fc57-4123-b446-6f00acd3b623.jpg?tr=w-240,cm-pad_resize",multi-way-bras,
"https://images-static.nykaa.com/uploads/7c2fbce2-9c18-4cb4-affd-55ef8c68ec27.gif?tr=w-240,cm-pad_resize",sharara-sets,
"https://images-static.nykaa.com/uploads/b116e46a-84a8-430d-8f67-35c3f3be3f0d.jpg?tr=w-240,cm-pad_resize",chic-handbags,
"https://images-static.nykaa.com/uploads/eb6f8f80-356e-446d-844c-ca35c2d49cdc.jpg?tr=w-240,cm-pad_resize",iconic-sneakers,
"https://images-static.nykaa.com/uploads/3605ed97-a599-4d1c-890e-e6fd4d54e053.jpg?tr=w-240,cm-pad_resize",cool-t-shirts,
"https://images-static.nykaa.com/uploads/adb2c7ba-c7c4-4ff9-bcd0-cba77799ce63.jpg?tr=w-240,cm-pad_resize",festive-ready-home,
"https://images-static.nykaa.com/uploads/c115e567-ba71-4840-b0f8-2fc823fc9217.jpg?tr=w-240,cm-pad_resize",alluring-anarkalis,
"https://images-static.nykaa.com/uploads/7e6c8800-9a28-4d03-a159-c6a678c5f226.jpg?tr=w-400,cm-pad_resize",global-store,
"https://images-static.nykaa.com/uploads/4619d281-246a-455a-a0a5-d8518054551d.jpg?tr=w-400,cm-pad_resize",house-of-nykaa,
"https://images-static.nykaa.com/uploads/6eed2b50-5c3c-40da-b0f5-ef8a650cc21e.png?tr=w-400,cm-pad_resize",revolve,
"https://images-static.nykaa.com/uploads/89850fba-09aa-434a-903c-db95cbf300bb.jpg?tr=w-400,cm-pad_resize",footlocker,
"https://images-static.nykaa.com/uploads/2c60c4f0-fd46-460a-a549-c68b0511da0d.jpg?tr=w-300,cm-pad_resize",luxe-01,
"https://images-static.nykaa.com/uploads/6129c9d8-9b96-4b00-a6ff-d8e1ba059abe.jpg?tr=w-300,cm-pad_resize",luxe-02,
"https://images-static.nykaa.com/uploads/3e8eaaca-99ea-40c6-9740-f193e1798b37.jpg?tr=w-300,cm-pad_resize",the-bridesmaid-edit,
"https://images-static.nykaa.com/uploads/5703d929-e825-4673-819b-e30694640d21.jpg?tr=w-300,cm-pad_resize",travel-resort,
"https://images-static.nykaa.com/uploads/dc45b5f1-8b81-452d-9b9a-33434377dc61.jpg?tr=w-300,cm-pad_resize",luxe-03,
"https://images-static.nykaa.com/uploads/8286489c-2d2b-4891-aaba-485cac019e92.jpg?tr=w-300,cm-pad_resize",luxe-04,
"https://images-static.nykaa.com/uploads/bea04ddc-9c81-4c9b-a539-a7642054ce65.jpg?tr=w-300,cm-pad_resize",sequined-diva,
"https://images-static.nykaa.com/uploads/0c425ece-4844-41cd-a5d9-d333aa443071.jpg?tr=w-300,cm-pad_resize",under-20k-store,
